"lon","lat","dateTime","refID","tripID","contBlock"
-23.7729601848847,17.6402769324503,2017-01-19 06:10:00,34,2,30
-23.7756867255154,17.6396849680507,2017-01-19 06:15:00,34,2,30
-23.7782307684001,17.6391844715252,2017-01-19 06:20:00,34,2,30
-23.7805627033042,17.6387902835239,2017-01-19 06:25:00,34,2,30
-23.7826529199931,17.638517244697,2017-01-19 06:30:00,34,2,30
-23.7844718082321,17.6383801956948,2017-01-19 06:35:00,34,2,30
-23.7859897577867,17.6383939771674,2017-01-19 06:40:00,34,2,30
-23.7871771584221,17.6385734297651,2017-01-19 06:45:00,34,2,30
-23.7880043999039,17.6389333941379,2017-01-19 06:50:00,34,2,30
-23.7884418719974,17.6394887109362,2017-01-19 06:55:00,34,2,30
-23.7884599644679,17.6402542208101,2017-01-19 07:00:00,34,2,30
-23.7880290670809,17.6412447644098,2017-01-19 07:05:00,34,2,30
-23.7871195696017,17.6424751823855,2017-01-19 07:10:00,34,2,30
-23.7857018617958,17.6439603153875,2017-01-19 07:15:00,34,2,30
-23.7837463334285,17.6457150040658,2017-01-19 07:20:00,34,2,30
-23.7812233742651,17.6477540890707,2017-01-19 07:25:00,34,2,30
-23.7781033740712,17.6500924110524,2017-01-19 07:30:00,34,2,30
-23.774356722612,17.6527448106612,2017-01-19 07:35:00,34,2,30
-23.769953809653,17.6557261285471,2017-01-19 07:40:00,34,2,30
-23.7648650249596,17.6590512053603,2017-01-19 07:45:00,34,2,30
-23.7590615447106,17.6627343845213,2017-01-19 07:50:00,34,2,30
-23.7527046100801,17.6666698360442,2017-01-19 07:55:00,34,2,30
-23.7463916043903,17.6704759680257,2017-01-19 08:00:00,34,2,30
-23.7407808429352,17.6737326627803,2017-01-19 08:05:00,34,2,30
-23.7365277420612,17.6760224301106,2017-01-19 08:10:00,34,2,30
-23.7339976243878,17.6771907089546,2017-01-19 08:15:00,34,2,30
-23.7330224095833,17.6775663929538,2017-01-19 08:20:00,34,2,30
-23.7333767221955,17.6775303057129,2017-01-19 08:25:00,34,2,30
-23.7348351867724,17.6774632708364,2017-01-19 08:30:00,34,2,30
-23.7371724278616,17.6777461119289,2017-01-19 08:35:00,34,2,30
-23.7401698035618,17.6787545505889,2017-01-19 08:40:00,34,2,30
-23.7441026191739,17.6804900449996,2017-01-19 08:45:00,34,2,30
-23.7500685459399,17.6823309473033,2017-01-19 08:50:00,34,2,30
-23.7592430714162,17.6835966482808,2017-01-19 08:55:00,34,2,30
