"","ID","Date_Time","Latitude","Longitude","BirdId","trip_id","Date","Time","DateTime","nestLoc_lat","nestLoc_lon","tripID","X","Y","Returns","StartsOut","ColDist","dataGroup.Longitude","dataGroup.Latitude"
"58","280132_1",2018-12-02 17:00:00,13.9171693907019,-24.7297187638487,"280132","280132_1",2018-12-02,"17:00:00",2018-12-02 17:00:00,14.970429,-24.638775,"280132_1_01",-24.7297187638487,13.9171693907019,"Yes","",116947.30203982,-24.7297187638487,13.9171693907019
"59","280132_1",2018-12-02 19:00:00,14.1201729074993,-24.6410531601256,"280132","280132_1",2018-12-02,"19:00:00",2018-12-02 19:00:00,14.970429,-24.638775,"280132_1_01",-24.6410531601256,14.1201729074993,"Yes","",94075.7717780462,-24.6410531601256,14.1201729074993
"60","280132_1",2018-12-02 21:00:00,14.3948129563107,-24.6214033447244,"280132","280132_1",2018-12-02,"21:00:00",2018-12-02 21:00:00,14.970429,-24.638775,"280132_1_01",-24.6214033447244,14.3948129563107,"Yes","",63716.4948277021,-24.6214033447244,14.3948129563107
"61","280132_1",2018-12-02 23:00:00,14.7816551375821,-24.5205700211135,"280132","280132_1",2018-12-02,"23:00:00",2018-12-02 23:00:00,14.970429,-24.638775,"280132_1_01",-24.5205700211135,14.7816551375821,"Yes","",24455.6239982083,-24.5205700211135,14.7816551375821
"76","280136_1",2019-01-01 00:59:47,14.6848860087558,-24.3449774608407,"280136","280136_1",2019-01-01,"00:59:47",2019-01-01 00:59:47,14.970429,-24.638775,"280136_1_01",-24.3449774608407,14.6848860087558,"Yes","",44701.3027770196,-24.3449774608407,14.6848860087558
"77","280136_1",2019-01-01 02:59:47,14.5277870767187,-24.2081670710291,"280136","280136_1",2019-01-01,"02:59:47",2019-01-01 02:59:47,14.970429,-24.638775,"280136_1_01",-24.2081670710291,14.5277870767187,"Yes","",67441.8451111253,-24.2081670710291,14.5277870767187
"78","280136_1",2019-01-01 04:59:47,14.4323014650792,-24.1769990514505,"280136","280136_1",2019-01-01,"04:59:47",2019-01-01 04:59:47,14.970429,-24.638775,"280136_1_01",-24.1769990514505,14.4323014650792,"Yes","",77578.3190931173,-24.1769990514505,14.4323014650792
"79","280136_1",2019-01-01 06:59:47,14.4034473300135,-24.1845656452317,"280136","280136_1",2019-01-01,"06:59:47",2019-01-01 06:59:47,14.970429,-24.638775,"280136_1_01",-24.1845656452317,14.4034473300135,"Yes","",79552.9859427708,-24.1845656452317,14.4034473300135
"80","280136_1",2019-01-01 08:59:47,14.2996132880006,-24.1788091661954,"280136","280136_1",2019-01-01,"08:59:47",2019-01-01 08:59:47,14.970429,-24.638775,"280136_1_01",-24.1788091661954,14.2996132880006,"Yes","",89242.720256302,-24.1788091661954,14.2996132880006
"81","280136_1",2019-01-01 10:59:47,13.9790606590623,-24.107728723136,"280136","280136_1",2019-01-01,"10:59:47",2019-01-01 10:59:47,14.970429,-24.638775,"280136_1_01",-24.107728723136,13.9790606590623,"Yes","",123729.401740283,-24.107728723136,13.9790606590623
"82","280136_1",2019-01-01 12:59:47,13.6313183424425,-23.9753322150087,"280136","280136_1",2019-01-01,"12:59:47",2019-01-01 12:59:47,14.970429,-24.638775,"280136_1_01",-23.9753322150087,13.6313183424425,"Yes","",164544.746833366,-23.9753322150087,13.6313183424425
"83","280136_1",2019-01-01 14:59:47,13.3915270181241,-23.8499940890888,"280136","280136_1",2019-01-01,"14:59:47",2019-01-01 14:59:47,14.970429,-24.638775,"280136_1_01",-23.8499940890888,13.3915270181241,"Yes","",194334.92814681,-23.8499940890888,13.3915270181241
"84","280136_1",2019-01-01 16:59:47,13.3185223164287,-23.8534360719996,"280136","280136_1",2019-01-01,"16:59:47",2019-01-01 16:59:47,14.970429,-24.638775,"280136_1_01",-23.8534360719996,13.3185223164287,"Yes","",201475.193291195,-23.8534360719996,13.3185223164287
"85","280136_1",2019-01-01 18:59:47,13.4709631575289,-24.107224229414,"280136","280136_1",2019-01-01,"18:59:47",2019-01-01 18:59:47,14.970429,-24.638775,"280136_1_01",-24.107224229414,13.4709631575289,"Yes","",175540.445292144,-24.107224229414,13.4709631575289
"86","280136_1",2019-01-01 20:59:47,13.4010013970209,-24.0781517738464,"280136","280136_1",2019-01-01,"20:59:47",2019-01-01 20:59:47,14.970429,-24.638775,"280136_1_01",-24.0781517738464,13.4010013970209,"Yes","",183884.465678695,-24.0781517738464,13.4010013970209
"87","280136_1",2019-01-01 22:59:47,13.3064733733212,-23.9904111082522,"280136","280136_1",2019-01-01,"22:59:47",2019-01-01 22:59:47,14.970429,-24.638775,"280136_1_01",-23.9904111082522,13.3064733733212,"Yes","",196958.466071563,-23.9904111082522,13.3064733733212
"88","280136_1",2019-01-02 00:59:47,13.275297094188,-23.9861194829124,"280136","280136_1",2019-01-02,"00:59:47",2019-01-02 00:59:47,14.970429,-24.638775,"280136_1_01",-23.9861194829124,13.275297094188,"Yes","",200350.273718184,-23.9861194829124,13.275297094188
