"","tracking_event","Date_Time","Latitude","Longitude","BirdId","trip_id"
"96","280136_1",2019-01-02 16:59:47,13.0741822684217,-24.1972899506167,"280136","280136_1"
"97","280136_1",2019-01-02 18:59:47,13.2383679719148,-24.4110564077644,"280136","280136_1"
"98","280136_1",2019-01-02 20:59:47,13.3858594194995,-24.5629365633779,"280136","280136_1"
"99","280136_1",2019-01-02 22:59:47,13.6110873791699,-24.8165043495943,"280136","280136_1"
"100","280136_1",2019-01-03 00:59:47,13.7252592315197,-24.6394150287717,"280136","280136_1"
"101","280136_1",2019-01-03 02:59:47,13.7870088718009,-24.5103463898034,"280136","280136_1"
"102","280136_1",2019-01-03 12:59:42,13.9611665832264,-24.9082664712891,"280136","280136_1"
"103","280136_1",2019-01-03 14:59:42,14.1394716137605,-25.0585325661742,"280136","280136_1"
"104","280136_1",2019-01-03 16:59:42,14.3043604966677,-25.2191054648289,"280136","280136_1"
"105","280136_1",2019-01-03 18:59:42,14.5643989438979,-25.4303963237471,"280136","280136_1"
"106","280136_1",2019-01-03 20:59:42,14.8173234384944,-25.6375596225893,"280136","280136_1"
"107","280136_1",2019-01-03 22:59:42,14.9756731152699,-25.8886775069292,"280136","280136_1"
"108","280136_1",2019-01-04 00:59:42,14.9698774259822,-26.052122641375,"280136","280136_1"
"109","280136_1",2019-01-04 02:59:42,15.0487060391829,-26.1301201803834,"280136","280136_1"
"110","280136_1",2019-01-04 04:59:42,14.9887623416226,-26.1299610234888,"280136","280136_1"
"111","280136_1",2019-01-04 06:59:42,15.1650295115243,-26.2626095723079,"280136","280136_1"
"112","280136_1",2019-01-04 08:59:42,15.2194030526041,-26.314477627242,"280136","280136_1"
"113","280136_1",2019-01-04 10:59:42,15.2603112520006,-26.3352564500915,"280136","280136_1"
"114","280136_1",2019-01-04 12:59:42,15.3961304275266,-26.3747135785112,"280136","280136_1"
"115","280136_1",2019-01-04 14:59:42,15.3277255181594,-26.2735560623509,"280136","280136_1"
"116","280136_1",2019-01-04 16:59:42,15.1313104774906,-26.1038118871862,"280136","280136_1"
"117","280136_1",2019-01-04 18:59:42,14.9461047002778,-25.9270108084118,"280136","280136_1"
"118","280136_1",2019-01-04 20:59:42,14.6802549610154,-25.6951262096249,"280136","280136_1"
"119","280136_1",2019-01-04 22:59:42,14.5139111187014,-25.4710591070019,"280136","280136_1"
"120","280136_1",2019-01-05 00:59:42,14.5657567875606,-25.1580654794893,"280136","280136_1"
"121","280136_1",2019-01-05 02:59:42,14.7444371707552,-24.7784757433789,"280136","280136_1"
"122","280136_1",2019-01-05 04:59:42,14.7597598703981,-24.4291555290098,"280136","280136_1"
"123","280136_1",2019-01-05 06:59:42,14.6049605226821,-24.2686942600814,"280136","280136_1"
"124","280136_1",2019-01-05 08:59:42,14.2132344749106,-24.0078862277378,"280136","280136_1"
"125","280136_1",2019-01-05 10:59:42,14.1135558284515,-23.9847442086577,"280136","280136_1"
"126","280136_1",2019-01-05 12:59:42,14.0462123964209,-24.0758793663785,"280136","280136_1"
"127","280136_1",2019-01-05 14:59:42,14.0752807093162,-24.1679380750218,"280136","280136_1"
"128","280136_1",2019-01-05 16:59:42,14.1877675633375,-24.2476393382709,"280136","280136_1"
"129","280136_1",2019-01-05 18:59:42,14.4052318108787,-24.3330621353126,"280136","280136_1"
"130","280136_1",2019-01-05 20:59:42,14.7489322813512,-24.4423238370372,"280136","280136_1"
"131","280136_1",2019-01-05 22:59:42,14.8613212783859,-24.523414602907,"280136","280136_1"
